,disease.filename,disease.name,disease.summary
1,Aase8093Smith_syndrome,Aase syndrome ,"Aase syndrome or Aase–Smith syndrome is a rare inherited disorder characterized by anemia with some joint and skeletal deformities. Aase syndrome is thought to be an autosomal recessive inherited disorder.[1] The genetic basis of the disease is not known. The anemia is caused by underdevelopment of the bone marrow, which is where blood cells are formed."
2,Aase8093Smith_syndrome,Aase syndrome ,"Aase syndrome or Aase–Smith syndrome is a rare inherited disorder characterized by anemia with some joint and skeletal deformities. Aase syndrome is thought to be an autosomal recessive inherited disorder.[1] The genetic basis of the disease is not known. The anemia is caused by underdevelopment of the bone marrow, which is where blood cells are formed."
3,Aarskog_syndrome,Aarskog–Scott syndrome ,"Aarskog–Scott syndrome is a rare disease inherited as autosomal dominant or X-linked and characterized by short stature, facial abnormalities, skeletal and genital anomalies."
4,Aarskog8093Ose8093Pande_syndrome,SHORT syndrome ,SHORT syndrome is a medical condition in which affected individuals have multiple birth defects in different organ systems.
5,ABCD_syndrome,ABCD syndrome ,"ABCD syndrome is the acronym for albinism, black lock, cell migration disorder of the neurocytes of the gut and sensorineural deafness. It has been found to be caused by mutation in the endothelin B receptor gene (EDNRB)."
6,Abdominal_defects,Abdominal wall defect ,"Abdominal Wall defects are a type of congenital defect that allows the stomach, the intestines, or other organs to protrude through an unusual opening that forms on the abdomen.[1]"
7,Absence_of_gluteal_muscle,Absence of gluteal muscle ,"The congenital absence of the gluteal muscle was described in 1976, as occurring in a brother and sister with absence of gluteal muscles and with spina bifida occulta. It was thought to be caused by an autosomal recessive gene."
8,Acanthosis_nigricans,Acanthosis nigricans ,"Acanthosis nigricans is a brown to black, poorly defined, velvety hyperpigmentation of the skin. It is usually found in body folds,[1] such as the posterior and lateral folds of the neck, the armpits, groin, navel, forehead, and other areas."
9,Achalasia_familial_esophageal,Achalasia ,"Achalasia (/e<U+026A>k<U+0259>'le<U+026A><U+0292><U+0259>/; a- and -chalasia ""no relaxation"") is a failure of smooth muscle fibers to relax, which can cause a sphincter to remain closed and fail to open when needed. Without a modifier, ""achalasia"" usually refers to achalasia of the esophagus, which is also called esophageal achalasia, achalasia cardiae, cardiospasm, and esophageal aperistalsis. Achalasia can happen at various points along the gastrointestinal tract; achalasia of the rectum, for instance, in Hirschsprung's disease."
10,Achondrogenesis,Achondrogenesis ,33350 32635
11,Achondrogenesis_type_1A,Achondrogenesis ,33350 32635
12,Achondroplastic_dwarfism,Achondroplasia ,Achondroplasia /e<U+026A><U+02CC>k<U+0252>ndr<U+0275>'ple<U+026A>zi<U+0259>/ is a common cause of dwarfism. It occurs as a sporadic mutation in approximately 80% of cases (associated with advanced paternal age) or it may be inherited as an autosomal dominant genetic disorder.
13,Achromatopsia,Achromatopsia ,"Achromatopsia (ACHM) is a medical syndrome that exhibits symptoms relating to at least five conditions. The term may refer to acquired conditions such as cerebral achromatopsia, also known as color agnosia, but it typically refers to an autosomal recessive congenital color vision condition, the inability to perceive color and to achieve satisfactory visual acuity at high light levels (typically exterior daylight). The syndrome is also present in an incomplete form which is more properly defined as dyschromatopsia. The only estimate of its relative occurrence of 1:33,000 in the general population dates from the 1960s or earlier."
14,Acid_maltase_deficiency,Glycogen storage disease type II ,"Glycogen storage disease type II (also called Pompe disease /'p<U+0252>mp<U+0259>/ or acid maltase deficiency) is an autosomal recessive metabolic disorder[1] which damages muscle and nerve cells throughout the body. It is caused by an accumulation of glycogen in the lysosome due to deficiency of the lysosomal acid alpha-glucosidase enzyme. It is the only glycogen storage disease with a defect in lysosomal metabolism, and the first glycogen storage disease to be identified, in 1932 by the Dutch pathologist J. C. Pompe."
15,Ackerman_syndrome,Ackerman syndrome ,"Ackerman syndrome is a familial syndrome of fused molar roots with a single canal (taurodontism), hypotrichosis, full upper lip without a cupid’s bow, thickened and wide philtrum, and occasional juvenile glaucoma.[1] It was described by James L. Ackerman, A. Leon Ackerman, and A. Bernard Ackerman [2]"
16,Acquired_agranulocytosis,Agranulocytosis ,"Agranulocytosis, also known as agranulosis or granulopenia, is an acute condition involving a severe and dangerous leukopenia (lowered white blood cell count), most commonly of neutrophils causing a neutropenia in the circulating blood.[1][2] It is a severe lack of one major class of infection-fighting white blood cells. People with this condition are at very high risk of serious infections due to their suppressed immune system."
17,Acquired_ichthyosis,Ichthyosis acquisita ,"Ichthyosis acquisita (or ""acquired ichthyosis"") is a disorder clinically and histologically similar to ichthyosis vulgaris.[1]:565"
18,Acrodermatitis,Acrodermatitis ,Acrodermatitis /ac·ro·der·ma·ti·tis/[1] is a childhood form of dermatitis selectively affecting the hands and feet and may be accompanied by mild symptoms of fever and malaise. It may also be associated with hepatitis B and other viral infections.[2]
19,Acrodysostosis,Acrodysostosis ,"Acrodysostosis also known as Arkless-Graham syndrome[1] or Maroteaux-Malamut syndrome[2][3] is a rare congenital malformation syndrome which involves shortening of the interphalangeal joints of the hands and feet, intellectual disability in approximately 90% of affected children, and peculiar facies. Other common abnormalities include short head (as measured front to back), small broad upturned nose with flat nasal bridge, protruding jaw, increased bone age, intrauterine growth retardation, juvenile arthritis and short stature. Further abnormalities of the skin, genitals, teeth, and skeleton may occur."
20,Acrokeratoelastoidosis_of_Costa,Acrokeratoelastoidosis of Costa ,"Acrokeratoelastoidosis of Costa (also known as ""Keratoelastoidosis marginalis""[1]) is a familial condition characterized by multiple keratotic papules on the dorsum of the hands and feet, palms, soles, in which electron microscopy shows rarified, abnormal elastic tissue.[2]:993[3]:214"
21,Acromicric_dysplasia,Acromicric dysplasia ,"Acromicric dysplasia is an extremely rare inherited disorder characterized by abnormally short hands and feet, growth retardation and delayed bone maturation leading to short stature, and mild facial abnormalities. Most cases have occurred randomly for no apparent reason (sporadically). However, autosomal dominant inheritance has not been ruled out."
22,Acropectoral_syndrome,Acropectoral syndrome ,"Acropectoral syndrome is an autosomal dominant skeletal dysplasia syndrome affecting the hands, feet, sternum, and lumbosacral spine. A recently proposed candidate gene for preaxial polydactyly is LMBR1, encoding a novel transmembrane receptor, which may be an upstream regulator of SHH.[1] The LMBR1 gene is on human chromosome 7q36.[2]"
23,Activated_protein_C_resistance,Activated protein C resistance ,"Activated protein C resistance (APCR) is a hemostatic disorder characterized by a poor anticoagulant response to activated protein C (APC). This results in an increased risk of venous thrombosis, which can cause problems with circulation, such as pulmonary embolism.[1]"
24,Acute_anxiety,Panic attack ,"Panic attacks are periods of intense fear or apprehension of sudden onset accompanied by at least four or more bodily or cognitive symptoms (such as heart palpitations, dizziness, shortness of breath, or feelings of unreality)[1] and of variable duration from minutes to hours.[2] Panic attacks usually begin abruptly and may reach a peak within 10 to 20 minutes but may continue for hours in some cases.[2][3] Panic attacks are not dangerous and should not cause any physical harm.[4]"
25,Acute_articular_rheumatism,Rheumatism ,"Rheumatism or rheumatic disorder is a non-specific term for medical problems affecting the joints and/or connective tissue.[1] The study of, and therapeutic interventions in, such disorders is called rheumatology."
26,Acute_erythroblastic_leukemia,Acute myeloid leukemia ,"Acute myeloid leukemia (AML), also known as acute myelogenous leukemia or acute nonlymphocytic leukemia (ANLL), is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells. AML is the most common acute leukemia affecting adults, and its incidence increases with age. Although AML is a relatively rare disease, accounting for approximately 1.2% of cancer deaths in the United States,[1] its incidence is expected to increase as the population ages."
27,Acute_monoblastic_leukemia,Acute monocytic leukemia ,"Acute monocytic leukemia (AMoL, or AML-M5)[1] is considered a type of acute myeloid leukemia."
28,Acute_myeloblastic_leukemia_type_5,Acute myeloid leukemia ,"Acute myeloid leukemia (AML), also known as acute myelogenous leukemia or acute nonlymphocytic leukemia (ANLL), is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells. AML is the most common acute leukemia affecting adults, and its incidence increases with age. Although AML is a relatively rare disease, accounting for approximately 1.2% of cancer deaths in the United States,[1] its incidence is expected to increase as the population ages."
29,Acute_myelocytic_leukemia,Acute myeloid leukemia ,"Acute myeloid leukemia (AML), also known as acute myelogenous leukemia or acute nonlymphocytic leukemia (ANLL), is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells. AML is the most common acute leukemia affecting adults, and its incidence increases with age. Although AML is a relatively rare disease, accounting for approximately 1.2% of cancer deaths in the United States,[1] its incidence is expected to increase as the population ages."
30,Acute_myeloid_leukemia,Acute myeloid leukemia ,"Acute myeloid leukemia (AML), also known as acute myelogenous leukemia or acute nonlymphocytic leukemia (ANLL), is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells. AML is the most common acute leukemia affecting adults, and its incidence increases with age. Although AML is a relatively rare disease, accounting for approximately 1.2% of cancer deaths in the United States,[1] its incidence is expected to increase as the population ages."
31,Acute_renal_failure,Acute kidney injury ,"Acute kidney injury (AKI), previously called acute renal failure (ARF),[1][2] is an abrupt loss of kidney function that develops within 7 days.[3]"
32,Acute_respiratory_distress_syndrome,Acute respiratory distress syndrome ,"Acute respiratory distress syndrome (ARDS), previously known as respiratory distress syndrome (RDS), acute lung injury, adult respiratory distress syndrome, or shock lung, is a severe, life-threatening medical condition characterized by widespread inflammation in the lungs. While ARDS may be triggered by a trauma or lung infection, it is usually the result of sepsis."
33,AcylCoA_dehydrogenase_short_chain_deficiency_of,Short-chain acyl-coenzyme A dehydrogenase deficiency ,"Short-chain acyl-coenzyme A dehydrogenase deficiency (SCADD), also called ACADS deficiency and SCAD deficiency,[1] is an autosomal recessive[2]fatty acid oxidation disorder which affects enzymes required to break down a certain group of fats called short chain fatty acids."
34,ADAM_complex,Amniotic band constriction ,"Amniotic band constriction (also known as ""amniotic band syndrome"", ""ADAM complex"", ""Amniotic band sequence"", ""Congenital constriction bands"" and ""Pseudoainhum""[1]) is a congenital disorder caused by entrapment of fetal parts (usually a limb or digits) in fibrous amniotic bands while in utero."
